date,com_count,sub_count,com_body_pos_count,com_body_very_pos_count,com_body_neg_count,com_body_very_neg_count,sub_body_pos_count,sub_body_very_pos_count,sub_body_neg_count,sub_body_very_neg_count,sub_title_pos_count,sub_title_very_pos_count,sub_title_neg_count,sub_title_very_neg_count,avg_clust_coef,avg_degree,num_edges,num_nodes,bitcoin_open,bitcoin_high,bitcoin_low,bitcoin_close,bitcoin_volume,bitcoin_market_cap,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_market_cap
8/20/2018,12133,1740,2761,1326,1316,490,106,74,25,16,144,22,78,19,0.011518845,1.1986,5668,4729,6500.51,6536.92,6297.93,6308.53,3665100000,1.12E+11,301.38,304.37,273.51,274.32,1413790000,30569460458
8/21/2018,13273,1750,2848,1310,1524,558,104,81,21,11,158,35,89,16,0.012018443,1.241,5891,4747,6301.07,6500.87,6298.24,6488.76,3377180000,1.09E+11,273.33,285.97,273.33,281.94,1164120000,27729942831
8/22/2018,16519,1846,3458,1511,2005,709,127,90,28,16,207,48,84,18,0.013002991,1.235,6695,5421,6486.25,6816.79,6310.11,6376.71,4668110000,1.12E+11,281.97,297.49,265,271.34,1507660000,28611999411
8/23/2018,14664,1667,3202,1483,1738,656,118,84,17,7,163,36,146,37,0.013699621,1.2792,6565,5132,6371.34,6546.54,6371.34,6534.88,3426180000,1.10E+11,271.75,279.55,271.09,277.1,1271160000,27580425754
8/24/2018,13013,1518,2872,1307,1424,544,123,102,24,13,157,46,79,15,0.016961812,1.2951,5921,4572,6551.52,6719.96,6498.64,6719.96,4097820000,1.13E+11,278.11,283.3,273.86,282.97,1450170000,28231866915
8/25/2018,10688,1152,2427,1120,1175,460,86,67,15,7,131,33,62,9,0.020022774,1.2822,5071,3955,6719.95,6789.63,6700.96,6763.19,3312600000,1.16E+11,283.28,283.52,278.47,279.65,1208360000,28762556561
8/26/2018,12740,1192,2675,1243,1635,667,96,68,26,16,149,39,77,17,0.030355086,1.3927,5798,4163,6754.64,6774.75,6620.75,6707.26,3295500000,1.16E+11,279.53,279.53,272.44,275.2,1206650000,28386921151
8/27/2018,14443,1692,3177,1486,1729,653,122,99,20,12,180,43,90,11,0.01629455,1.3512,6683,4946,6710.8,6884.64,6689.71,6884.64,4019000000,1.16E+11,275.35,285.6,273.65,285.6,1406790000,27968567433
8/28/2018,16598,1770,3708,1713,1577,578,119,86,22,16,226,50,96,11,0.014429802,1.3149,7386,5617,6891.08,7109.56,6882.34,7096.28,4659940000,1.19E+11,286.65,297.4,283.57,296.5,1513350000,29122157621
8/29/2018,15090,1831,3252,1462,1729,647,119,87,24,12,215,39,74,13,0.012506369,1.3697,7199,5256,7091.71,7113.3,6970.82,7047.16,4145880000,1.22E+11,296.16,297.07,287.29,289.31,1474460000,30094775053
8/30/2018,13551,1841,2944,1402,1631,630,120,85,31,19,207,43,92,11,0.01470036,1.2591,5875,4666,7043.76,7072.69,6834.69,6978.23,4463250000,1.21E+11,289.75,291.24,275.21,284.11,1513100000,29449252259
8/31/2018,14111,1746,3015,1360,1664,635,114,88,38,23,182,44,73,9,0.020021799,1.3029,6121,4698,6973.97,7057.17,6920.16,7037.58,4495650000,1.20E+11,284.12,284.55,278.51,283,1411910000,28882613519
9/1/2018,13556,1366,2895,1242,1561,568,87,56,35,21,135,37,61,14,0.017667512,1.384,6268,4529,7044.81,7242.29,7038.05,7193.25,4116050000,1.21E+11,283.5,301.14,283.5,295.34,1546630000,28824991126
9/2/2018,12524,1284,2706,1239,1469,578,77,58,21,7,170,41,73,18,0.020119239,1.3794,5515,3998,7189.58,7306.31,7132.16,7272.72,4329540000,1.24E+11,295.45,298.69,290.93,294.37,1321050000,30046692957
9/3/2018,12721,1510,2800,1295,1382,555,97,76,15,7,156,36,79,14,0.015266516,1.3085,5929,4531,7279.03,7317.94,7208.15,7260.06,4087760000,1.26E+11,295.18,295.59,287.43,289.26,1394490000,30025069120
9/4/2018,13758,1806,3141,1420,1529,591,100,87,19,12,203,43,78,18,0.010767448,1.2362,6072,4912,7263,7388.26,7255.44,7361.66,4273640000,1.25E+11,289.3,291.58,284.26,285.72,1554870000,29432488855
9/5/2018,17235,1919,3670,1630,2015,709,97,65,20,13,186,41,92,10,0.009691278,1.1778,6863,5827,7361.46,7388.43,6792.83,6792.83,5800460000,1.27E+11,286.05,288.16,232.33,232.33,2390390000,29107551074
9/6/2018,18105,1873,3639,1605,2134,809,122,92,34,19,208,58,100,17,0.019498058,1.1778,7101,6029,6755.14,6755.14,6404.72,6529.17,5523470000,1.17E+11,231.65,231.76,218.12,230.22,2097310000,23576873426
9/7/2018,13106,1686,2914,1336,1619,634,111,86,22,8,209,45,87,15,0.013739739,1.1922,5751,4824,6528.92,6555.29,6396.87,6467.07,4264680000,1.13E+11,229.54,233.9,217.08,217.2,1678260000,23366572107
9/8/2018,12927,1214,2738,1223,1570,587,79,58,14,7,143,33,54,8,0.012831264,1.155,4993,4323,6460.17,6534.25,6197.52,6225.98,3835060000,1.11E+11,217.91,220.37,193.26,197.95,1517200000,22187693066
9/9/2018,13702,1106,2872,1294,1623,601,71,60,22,16,104,28,59,11,0.011229699,1.2274,5797,4723,6223.38,6446.26,6201.22,6300.86,3671890000,1.07E+11,198.39,207.67,188.31,196.92,1585980000,20203492382
